input.sentences,output.sentences,persona.age
there is nothing like watching a game a fenway park .,"Watching the game at home is okay, but watching it at the park, live, we were really looking forward to that.",45-54
we just came because we were hungry .,There were so many pictures taken.,18-24
everyone loves a wedding,A bride and groom get marries,25-34
even the manager is relaxing a little .,We made sure every one was ready for the party.,25-34
[female] was trying to figure out the last ingredient to [female] 's secret sauce .,We are having a party and I made my favorite secret sauce with my favorite ingredients.,45-54
then they gave a presentation of how business work .,Our team did a presentation afterwards to discuss our conclusions to the challenge.,35-44
he took the buckets to dig for clams .,"If you dig for clams on the on the beach, you're going to need buckets.",35-44
he 's takes another picture of himself while he is on his trip .,He decides that maybe he should take a trip so that he can photograph him self in other lands.,25-34
i went to a baby shower of a friend of mine | they little girl was being named [female] .,At the shower for baby Brooke who is a good friend of mine there was a nice cake.,45-54
but we also came across historically interesting buildings .,"Next, we have the hotel that was opened back duruing World War 2.",18-24
this tree brings back memories .,This tree reminds me of a stormy day when we ran for shelter,55-74
i think we 'll return in a few weeks when summer is in full effect to take some more pictures .,IT IS A TREE,25-34
after it was all done i had a great meal .,The dog was ready to go.,25-34
when i got home | i was hungry . i did n't want to cook | so i decided to go back out to the local taco hut .,A small yellow wheel spins very quickly.,25-34
the fireworks are loud and colorful and has everyone 's attention .,The show proceeded with bigger and bigger displays.,25-34
after a while she woke up from her nap .,She looks so happy smiling at the baby.,45-54
the horses were led out .,The jockeys led the horses to the gate.,55-74
our principal spoke to the entire student body .,The speaker's are underway.,25-34
there were some children playing at the water fountains .,this  is a child playing in a man made waterfall system,18-24
this is us | we are happy with our boss today because he bought us a new toy .,Both the CEO and his flunky are fired and replaced by a new CEO and flunky.,35-44
there was a small roller coaster | but it was really rusty and covered in muck .,There was also a rusty roller coaster.,18-24
after coming home from work today i decided to take a short walk .,Today we are visiting my Great Uncle John.,25-34
the students came together for an orientation to learn about their new school .,All of the new students show up right on time for student orientation.,25-34
this grave had the name of someone we knew .,We saw some very old graves and some familiar names.,45-54
the plant was very wide and provided ample shade .,The wide leaves of a tree provided shade as we ate lunch.,18-24
a group is touring the city and they do it from a blue bus .,He had a great time on the hike.,25-34
starting the parade to show off the beautiful ourfits .,The is the parade we went to on our vacation;,55-74
[male] smith | a brave soldier and a father .,The male soldier's name was Smith.,55-74
well | that one was not that great .,The final one is a smaller version of the Flickr notice.,25-34
here are several racers bottle up on this narrow path .,The racers made their way down a narrow path,25-34
the train is large and old .,There was a train.,18-24
we ended the day by the lighthouse . it was perfect .,They had a perfect day at the lighthouse.,18-24
this was a bit creepy | i had to say !,A creepy ghost appeared.,25-34
one man drank a lot of wine .,Marhsa's husband got ready to give a toast.,55-74
there was a church sitting out in the middle of no where,Old churches are also visited on vacation.,35-44
[female] and [female] did the same .,Possibly for future blackmail material.,25-34
i photographed portraits of the gay couples in my hometown . the first couple was a bi-racial couple who had been together for 5 yers .,For years he had been taking portraits of interracial couples.,35-44
you never know what you will see as you travel along the path deeper into the garden .,The view here is amazing.,35-44
